iter	Passed	Remaining
455	621	2168
456	622	2167
457	623	2165
458	625	2164
459	626	2162
460	627	2161
461	629	2160
462	630	2158
463	631	2157
464	633	2155
465	634	2154
466	635	2153
467	637	2151
468	638	2150
469	640	2148
470	641	2147
471	642	2145
472	644	2144
473	645	2143
474	646	2141
475	648	2140
476	649	2138
477	650	2136
478	651	2135
479	653	2133
480	654	2132
481	655	2130
482	657	2129
483	658	2127
484	659	2126
485	661	2124
486	662	2123
487	663	2121
488	665	2120
489	666	2119
490	668	2118
491	669	2116
492	670	2115
493	671	2113
494	673	2112
495	674	2111
496	676	2110
497	677	2109
498	678	2107
499	680	2106
500	681	2104
501	682	2103
502	684	2101
503	685	2100
504	686	2098
505	688	2097
506	689	2095
507	690	2094
508	692	2092
509	693	2091
510	694	2090
511	696	2088
512	697	2087
513	698	2085
514	700	2084
515	701	2082
516	702	2081
517	704	2079
518	705	2078
519	706	2076
520	708	2075
521	709	2074
522	710	2072
523	712	2071
524	713	2069
525	714	2068
526	716	2066
527	717	2065
528	718	2063
529	719	2062
530	721	2060
531	722	2058
532	723	2057
533	725	2056
534	726	2055
535	728	2053
536	729	2052
537	730	2050
538	732	2049
539	733	2048
540	734	2046
541	736	2045
542	737	2044
543	738	2042
544	740	2041
545	741	2040
546	743	2039
547	744	2037
548	745	2036
549	747	2034
550	748	2033
551	749	2031
552	751	2030
553	752	2029
554	753	2027
555	755	2026
556	756	2025
557	758	2024
558	759	2022
559	760	2021
560	762	2020
561	763	2018
562	764	2017
563	766	2015
564	767	2014
565	768	2012
566	770	2011
567	771	2010
568	772	2009
569	774	2007
570	775	2006
571	777	2005
572	778	2004
573	780	2003
574	781	2002
575	782	2000
576	784	1999
577	785	1998
578	787	1996
579	788	1995
580	789	1994
581	791	1993
582	792	1991
583	793	1990
584	795	1988
585	796	1987
586	797	1985
587	799	1984
588	800	1983
589	801	1981
590	802	1979
591	804	1977
592	805	1976
593	806	1975
594	808	1973
595	809	1972
596	810	1970
597	812	1969
598	813	1967
599	814	1966
600	816	1965
601	817	1963
602	818	1962
603	820	1960
604	821	1959
605	822	1957
606	824	1956
607	825	1955
608	826	1953
609	828	1952
610	829	1950
611	830	1949
612	832	1948
613	833	1947
614	835	1945
615	836	1944
616	837	1942
617	839	1941
618	840	1940
619	841	1939
620	843	1937
621	844	1936
622	845	1935
623	847	1933
624	848	1932
625	849	1930
626	851	1929
627	852	1928
628	854	1926
629	855	1925
630	856	1924
631	858	1923
632	859	1921
633	861	1920
634	862	1918
635	863	1917
636	864	1915
637	866	1914
638	867	1912
639	868	1911
640	869	1909
641	871	1907
642	872	1905
643	873	1904
644	874	1902
645	876	1901
646	877	1899
647	878	1897
648	879	1896
649	880	1894
650	882	1892
651	883	1891
652	884	1889
653	885	1888
654	887	1886
655	888	1885
